Nombre	Tipo de SO	Dominio	Agente instalado	Agente en ejecución	Antivirus instalado	Conexión al Servidor	Última actualización	Estado	Descripción del estado	Actualizar información	Nombre de DNS	Dominio DNS	Dirección IP	Visible	Análisis a petición	Virus encontrados	Estado de protección en tiempo real	Dirección IP de la conexión	Versión del Agente de Red	Versión de protección	Versión de base de datos	Fecha de activación	Reiniciar	Agente de actualización	Descripción	Estado de cifrado	Estado del WUA	Tamaño de bits del sistema operativo	Servidor	Grupo primario
AESCARDINO-PC	Microsoft Windows 7	AICE	Sí	Sí	Sí	Hace 3 minutos	Hace 26 minutos	Correcto/Visible	Última conexión al Servidor de Administración Hace 3 minutos.	Hace 3 minutos	aescardino-pc	aice.itc.uji.es	150.128.190.11	Hace 3 minutos	Hace un día	0	En ejecución	150.128.190.11	10.2.434	10.2.5.3201	10/04/2017 9:20:00	09/04/2017 4:56:25		No		No hay directivas de cifrado especificadas	 	x86	KAV2016	4Planta
AESCRIG-PRECISI	Microsoft Windows 7	AICE	Sí	Sí	Sí	Hace 13 minutos	Hace 30 minutos	Correcto/Visible	Última conexión al Servidor de Administración Hace 13 minutos.	Hace 13 minutos	aescrig-precision	aice.itc.uji.es	150.128.190.59	Hace 13 minutos	Hace 1 semanas	1	En ejecución	150.128.190.59	10.2.434	10.2.5.3201	10/04/2017 9:20:00	10/04/2017 7:43:49		No	aescrig-precision server (Samba, Ubuntu)	No hay directivas de cifrado especificadas	 	AMD64	KAV2016	Equipos SI pueden parar KES
AI-SONY	Microsoft Windows XP	AICE	Sí	No	No	Hace 1 semanas	07/03/2016 16:24:01	Crítico	Kaspersky Anti-Virus no está instalado; 	Hace 9 horas	ai-sony	aice.itc.uji.es	150.128.191.166	Hace 1 semanas	19/03/2016 18:30:15	0		150.128.191.166	10.2.434			28/03/2017 10:56:26		No		No hay directivas de cifrado especificadas	 	x86	KAV2016	1Sotano
AULAVIRTUAL	Microsoft Windows Server 2003	ITC	Sí	Sí	Sí	Hace 7 minutos	Hace 1 hora	Crítico/Visible	No se ha realizado la búsqueda de actualizaciones de Windows desde hace mucho tiempo; 	Hace 7 minutos	aulavirtual		150.128.190.125	Hace 7 minutos	Hace 2 días	0	En ejecución (recomendado)	150.128.190.125	10.2.434	10.0.0.486	10/04/2017 9:20:00	15/02/2017 17:15:41		No		No hay directivas de cifrado especificadas	 	x86	KAV2016	servidores
CENTRALITA	Microsoft Windows 7	AICE	Sí	Sí	No	Hace 4 minutos	17/03/2016 23:37:00	Crítico/Visible	Kaspersky Anti-Virus no está instalado; 	Hace 4 minutos	centralita	aice.itc.uji.es	150.128.190.75	Hace 4 minutos		0		150.128.190.75	10.2.434			16/03/2017 6:19:19		No		No hay directivas de cifrado especificadas	 	x86	KAV2016	3Planta
DELL830A-PC	Microsoft Windows 7	AICE	Sí	No	Sí	Hace 2 días	Hace 2 días	Correcto		Hace 9 horas	dell830a-pc	aice.itc.uji.es	192.168.168.220	Hace un día	03/03/2017 22:49:31	0	En ejecución	150.128.190.214	10.2.434	10.2.5.3201	07/04/2017 15:56:00	07/04/2017 15:10:05		No		Se requiere reiniciar	 	x86	KAV2016	Portatiles
EADELL-PC	Microsoft Windows 7	AICE	Sí	Sí	Sí	Hace 14 minutos	Hace 26 minutos	Correcto/Visible	Última conexión al Servidor de Administración Hace 14 minutos.	Hace 14 minutos	eadell-pc	aice.itc.uji.es	150.128.190.76	Hace 14 minutos	Hace un día	1	En ejecución	150.128.190.76	10.2.434	10.2.5.3201	10/04/2017 9:20:00	10/04/2017 9:20:10		No		Se requiere reiniciar	 	x86	KAV2016	3Planta
EMARIN-PC	Microsoft Windows 7	AICE	Sí	Sí	Sí	Hace 14 minutos	Hace 26 minutos	Correcto/Visible	Última conexión al Servidor de Administración Hace 14 minutos.	Hace 14 minutos	emarin-pc	aice.itc.uji.es	150.128.190.89	Hace 14 minutos	Hace un día	0	En ejecución	150.128.190.89	10.2.434	10.2.5.3201	10/04/2017 9:20:00	09/04/2017 4:56:00		No		No hay directivas de cifrado especificadas	 	AMD64	KAV2016	3Planta
GAMBARDELLA	Microsoft Windows 7	AICE	Sí	Sí	Sí	Hace 13 minutos	Hace 26 minutos	Correcto/Visible	Última conexión al Servidor de Administración Hace 13 minutos.	Hace 13 minutos	gambardella	aice.itc.uji.es	150.128.190.70	Hace 13 minutos	Hace un día	1	En ejecución	150.128.190.70	10.2.434	10.2.5.3201	10/04/2017 9:20:00	09/04/2017 4:56:43		No		No hay directivas de cifrado especificadas	 	x86	KAV2016	3Planta
GMALLOL-DELL	Microsoft Windows 7	AICE	Sí	No	Sí	Hace 2 horas	Hace 3 horas	Correcto		Hace 2 horas	gmallol-dell	aice.itc.uji.es	150.128.190.33	Hace 2 horas	Hace un día	0		150.128.190.33	10.2.434	10.2.5.3201	10/04/2017 5:22:00	09/04/2017 4:55:28		No		No hay directivas de cifrado especificadas	 	x86	KAV2016	4Planta
GONZALO-PC	Microsoft Windows 7	AICE	Sí	Sí	Sí	Hace 8 minutos	Hace 26 minutos	Correcto/Visible	Última conexión al Servidor de Administración Hace 8 minutos.	Hace 8 minutos	gonzalo-pc	aice.itc.uji.es	150.128.190.34	Hace 8 minutos	Hace un día	0	En ejecución	150.128.190.34	10.2.434	10.2.5.3201	10/04/2017 9:20:00	09/04/2017 4:55:32		No		No hay directivas de cifrado especificadas	 	x86	KAV2016	3Planta
IAMAT-PC	Microsoft Windows 7	AICE	Sí	Sí	Sí	Hace 15 minutos	Hace 25 minutos	Correcto/Visible	Última conexión al Servidor de Administración Hace 15 minutos.	Hace 15 minutos	iamat-pc	aice.itc.uji.es	150.128.190.90	Hace 15 minutos	Hace 4 días	1	En ejecución	150.128.190.90	10.2.434	10.2.5.3201	10/04/2017 9:20:00	10/04/2017 8:16:21		No		No hay directivas de cifrado especificadas	 	AMD64	KAV2016	3Planta
INTRANETITC	Microsoft Windows Server 2003	AICE	Sí	Sí	No	Hace 5 minutos	07/03/2016 17:00:57	Crítico/Visible	Kaspersky Anti-Virus no está instalado; 	Hace 5 minutos	intranetitc	aice.itc.uji.es	150.128.190.216	Hace 5 minutos		0		150.128.190.216	10.2.434			27/09/2016 11:23:31		No		No hay directivas de cifrado especificadas	 	x86	KAV2016	Servidores
IUTC-ANGELD	Microsoft Windows 7	AICE	Sí	Sí	Sí	Hace 13 minutos	Hace 26 minutos	Correcto/Visible	Última conexión al Servidor de Administración Hace 13 minutos.	Hace 13 minutos	iutc-angeld	aice.itc.uji.es	150.128.190.85	Hace 13 minutos	Hace un día	0	En ejecución	150.128.190.85	10.2.434	10.2.5.3201	10/04/2017 9:20:00	10/04/2017 10:57:29		No		No hay directivas de cifrado especificadas	 	AMD64	KAV2016	3Planta
IUTCEVAQUER	Microsoft Windows 10	AICE	Sí	No	Sí	Hace 2 semanas	Hace 2 semanas	Crítico	No conectado durante mucho tiempo; 	Hace 9 horas	iutcevaquer	aice.itc.uji.es	150.128.190.72	Hace 2 semanas	Hace 2 semanas	0		150.128.190.72	10.2.434	10.2.5.3201	26/03/2017 5:58:00	26/03/2017 4:56:51		No		No hay directivas de cifrado especificadas	 	AMD64	KAV2016	3Planta
